id,Community,Degree
https://openalex.org/A5046253607,32,16
https://openalex.org/A5115591404,164,16
https://openalex.org/A5024226052,102,16
https://openalex.org/A5038883443,102,16
https://openalex.org/A5055999164,128,16
https://openalex.org/A5023894100,58,16
https://openalex.org/A5090356821,23,16
https://openalex.org/A5074231708,1,16
https://openalex.org/A5039882708,12,16
https://openalex.org/A5010807751,102,16
https://openalex.org/A5032062981,102,16
https://openalex.org/A5068713525,65,16
https://openalex.org/A5086073834,0,16
https://openalex.org/A5084485442,2,16
https://openalex.org/A5012965551,3,16
https://openalex.org/A5001721761,164,16
https://openalex.org/A5102836759,14,16
https://openalex.org/A5026523515,0,16
https://openalex.org/A5059738737,88,16
https://openalex.org/A5027079032,0,15
https://openalex.org/A5059871346,1,15
https://openalex.org/A5067847375,29,15
https://openalex.org/A5010646067,32,15
https://openalex.org/A5110570868,34,15
https://openalex.org/A5032369426,24,15
https://openalex.org/A5045167008,30,15
https://openalex.org/A5004209770,30,15
https://openalex.org/A5014328256,69,15
https://openalex.org/A5072591573,164,15
https://openalex.org/A5002828825,50,15
https://openalex.org/A5101985432,50,15
https://openalex.org/A5021836148,14,15
https://openalex.org/A5044089299,25,15
https://openalex.org/A5101877022,55,15
https://openalex.org/A5101492251,14,15
https://openalex.org/A5006925287,80,15
https://openalex.org/A5101471439,81,15
https://openalex.org/A5061403523,36,15
https://openalex.org/A5102939723,33,15
https://openalex.org/A5057999999,1,15
https://openalex.org/A5044409132,10,15
https://openalex.org/A5020093775,126,15
https://openalex.org/A5054283888,43,15
https://openalex.org/A5100677834,154,15
https://openalex.org/A5035059987,154,15
https://openalex.org/A5015781386,60,15
https://openalex.org/A5108140380,154,15
https://openalex.org/A5065695921,90,15
https://openalex.org/A5045665079,80,15
https://openalex.org/A5103838774,155,15
https://openalex.org/A5055074100,97,15
https://openalex.org/A5034671481,1,15
https://openalex.org/A5004427266,9,15
https://openalex.org/A5035632114,55,15
https://openalex.org/A5038517671,23,15
https://openalex.org/A5101528692,42,15
https://openalex.org/A5100606672,42,15
https://openalex.org/A5044719894,1,15
https://openalex.org/A5061609595,1,15
https://openalex.org/A5040369194,2,15
https://openalex.org/A5052496992,104,15
https://openalex.org/A5056719450,24,15
